patients,svm_dsc,kmeans_dsc,svm_hausdorf,kmeans_hausdorf,otsu_dsc,otsu_hausdorf,isodata_dsc,isodata_hausdorf,rand_forest_dsc,rand_forest_hausdorf
67,0.9149778178210144,0.6461338358151711,67.17886572427373,81.99390221229869,0.8442949349496341,74.85986908885161,0.8478102286342797,74.42445834535849,0.5302360670874174,29.29163703175362
107,0.7757386243780169,0.3933381581966779,65.76473218982953,81.8413098624405,0.6535407991128832,69.81403870282824,0.3963295736952781,70.63285354564121,0.6482669587669196,32.03123475609393
89,0.7450963620978803,0.3679269318962655,47.265209192385896,68.57113095173507,0.0,92.14119599831554,0.0,92.14119599831554,0.5575925925925926,34.19064199455752
276,0.8455702833409726,0.5741271046094397,51.36146415358503,87.56711711595854,0.4342164398400497,70.14983962918234,0.0,70.14983962918234,0.7424557548169368,77.07788269017254
109,0.8552283547875155,0.2795741977038707,63.85138996137829,83.3606621854697,0.7541649532100982,79.25906888173743,0.6848798036932291,79.25906888173743,0.3990386522094342,63.647466563878254
199,0.8897341955461238,0.7365652053785228,50.67543783727971,88.93818077743664,0.8519133904624845,85.07643622061282,0.7445755774837407,85.07643622061282,0.8889907700190802,83.81527307120105
352,0.4811322929393052,0.301972450919346,90.01111042532472,117.32859838931002,0.3054487316558051,117.13240371477058,0.2647274387005885,117.77096416349828,0.6527755203762095,85.05292469985967
51,0.9085284464754008,0.6221195314390363,47.686476070265456,82.44392033376384,0.8139628614559364,77.94228634059948,0.8459900421294523,74.77967638335967,0.7288355989116868,21.213203435596427
326,0.8254175582914154,0.6942301256365495,45.48626166217664,68.07348970047003,0.6729816350409523,63.96092557178953,0.4564943253467843,63.96092557178953,0.7753466542026953,58.53204250664759
165,0.8683178714123269,0.6500542438849806,59.1100668245266,74.79973261984297,0.8818149354671797,54.378304497290095,0.7324609819472513,54.378304497290095,0.9214171618194452,53.56304696336832
92,0.8965615282096846,0.5459703645245125,71.19691004531025,91.84225606985056,0.6488732841386972,86.33075929238663,0.5898939514175882,86.33075929238663,0.2869157509157509,17.11724276862369
286,0.3130422103958591,0.0160939360348154,123.9112585683803,129.83065893693984,0.0,75.27283706623525,0.0,75.27283706623525,0.4933055450296829,39.30648801406709
244,0.8821634985523904,0.6279176762874582,54.19409561935692,77.68526243760782,0.8418720492541418,60.61352984276695,0.5597829676810568,60.61352984276695,0.3595829587563313,56.02677931132576
142,0.1994221678828137,0.0659685759148689,95.60857702110204,101.08412338245805,0.0,81.44323176298937,0.0,82.68010643437755,0.5526258205689277,92.9569792968769
281,0.7423684625191594,0.5691751822947066,63.15853069855251,71.19691004531025,0.7217421725996788,60.96720429870473,0.7142841268136207,60.96720429870473,0.7390103069666125,64.69157595854347
132,0.8445542875912564,0.7586794353877497,71.07038764492565,76.79192665899195,0.8009869216751867,65.7419196555744,0.0,82.3164625090267,0.8187683167128441,66.58077800686922
365,0.7469232812430829,0.223830809260124,77.12976079309465,93.01075206662937,0.1401253058197721,67.5721836261046,0.0,82.37718130647589,0.5522961283506261,69.77822009767804
176,0.6906015626823713,0.5095390314339213,75.49172140042907,83.33666660000267,0.0,88.54942122905152,0.0,88.54942122905152,0.6552917652074178,84.86459803710851
128,0.6204302027086838,0.0,105.61249926026748,109.79070998950684,0.2930791169533509,106.7379969832674,0.2790210400721706,108.93117092916977,0.0,inf
333,0.9419527251243712,0.7781237901257427,83.83913167489273,88.93818077743664,0.9422726005350088,88.93818077743664,0.9327765128294948,89.40917178902845,0.8527340445070711,85.7962703152066
63,0.5054303845990034,8.467400508044031e-05,86.59676668328905,105.62670116973264,0.0987198181695527,106.28734637763802,0.0959592326139088,104.73299384625648,0.2089414250808954,63.6553218513582
209,0.4640627649243954,0.2398139116080138,85.65628990331066,87.84645695758026,0.0,78.3198569968051,0.0,78.3198569968051,0.4513298625481952,85.93602271457529
191,0.7908609364595498,0.6327505773917104,62.29767250869008,64.89221833163049,0.8479878604356559,65.0384501660364,0.8429666269732222,65.0384501660364,0.2481137061970342,22.22611077089287
164,0.683965695666875,0.4396546603037564,70.3846574190711,84.00595217006948,0.0,78.29431652425353,0.0,78.29431652425353,0.5878834125176144,74.57211275000863
106,0.7894360495073451,0.4401548713748557,51.67204273105525,66.332495807108,0.6601877207229325,65.60487786742691,0.6382041452324002,65.88626564011653,0.464761122945077,91.27431182978046
61,0.195023295531153,0.1778100607611866,54.46099521676041,62.73754856543249,0.0,76.74633541739958,0.0,76.74633541739958,0.6250536776884854,31.827660925679098
120,0.8912057404654268,0.6042197655154836,63.19018911191832,82.71033792700887,0.8045115928685026,83.2946576918352,0.7878161716500136,83.2946576918352,0.5221368866219386,59.033888572581766
259,0.7973398109343838,0.4048616404539955,96.00520819205592,96.94328238717728,0.8068796690243264,90.1443287178955,0.0,90.1443287178955,0.807557213388873,92.32009532057472
263,0.3027574223766714,0.3392395364428694,115.45128842936316,122.75992831539124,0.0,119.57006314291216,0.0,121.35073135337916,0.8383760346866378,115.72380913191546
146,0.4601354268164831,0.1274415557214438,71.449282711585,77.94228634059948,0.0,89.87769467448528,0.0,89.6827742657418,0.5608617377746767,75.24626236564843
